Date,Adj Close,Symbol
2020-09-01,172.1,BA
2020-09-02,174.78,BA
2020-09-03,168.77,BA
2020-09-04,171.05,BA
2020-09-08,161.08,BA
2020-09-09,160.78,BA
2020-09-10,157.69,BA
2020-09-11,160.23,BA
2020-09-14,165.35,BA
2020-09-15,163.49,BA
2020-09-16,167.46,BA
2020-09-17,167.53,BA
2020-09-18,161.14,BA
2020-09-21,156.35,BA
2020-09-22,156.8,BA
2020-09-23,151.18,BA
2020-09-24,146.05,BA
2020-09-25,156.03,BA
2020-09-28,166.08,BA
2020-09-29,163.6,BA
2020-09-30,165.26,BA
2020-10-01,167.86,BA
2020-10-02,168.08,BA
2020-10-05,171.2,BA
2020-10-06,159.54,BA
2020-10-07,164.61,BA
2020-10-08,168.0,BA
2020-10-09,167.33,BA
2020-10-12,167.35,BA
2020-10-13,162.14,BA
2020-10-14,163.24,BA
2020-10-15,164.24,BA
2020-10-16,167.35,BA
2020-10-19,167.11,BA
2020-10-20,167.24,BA
2020-10-21,163.86,BA
2020-10-22,169.07,BA
2020-10-23,167.36,BA
2020-10-26,160.83,BA
2020-10-27,155.24,BA
2020-10-28,148.14,BA
2020-10-29,148.29,BA
2020-10-30,144.39,BA
2020-11-02,148.6,BA
2020-11-03,153.65,BA
2020-11-04,151.63,BA
2020-11-05,157.09,BA
2020-11-06,157.74,BA
2020-11-09,179.36,BA
2020-11-10,188.69,BA
2020-11-11,182.15,BA
2020-11-12,176.72,BA
2020-11-13,187.11,BA
2020-11-16,202.4,BA
2020-11-17,210.05,BA
2020-11-18,203.3,BA
2020-11-19,205.67,BA
2020-11-20,199.62,BA
2020-11-23,211.53,BA
2020-11-24,218.49,BA
2020-11-25,217.61,BA
2020-11-27,216.5,BA
2020-11-30,210.71,BA
