Date,Adj Close,Symbol
2020-09-01,150.47,JNJ
2020-09-02,152.77,JNJ
2020-09-03,148.52,JNJ
2020-09-04,147.56,JNJ
2020-09-08,146.24,JNJ
2020-09-09,148.67,JNJ
2020-09-10,145.9,JNJ
2020-09-11,146.76,JNJ
2020-09-14,147.33,JNJ
2020-09-15,147.86,JNJ
2020-09-16,147.38,JNJ
2020-09-17,146.15,JNJ
2020-09-18,148.15,JNJ
2020-09-21,144.1,JNJ
2020-09-22,143.21,JNJ
2020-09-23,143.44,JNJ
2020-09-24,143.67,JNJ
2020-09-25,144.65,JNJ
2020-09-28,146.09,JNJ
2020-09-29,146.05,JNJ
2020-09-30,147.85,JNJ
2020-10-01,146.3,JNJ
2020-10-02,145.23,JNJ
2020-10-05,147.21,JNJ
2020-10-06,145.25,JNJ
2020-10-07,146.86,JNJ
2020-10-08,147.86,JNJ
2020-10-09,149.93,JNJ
2020-10-12,150.79,JNJ
2020-10-13,147.34,JNJ
2020-10-14,147.08,JNJ
2020-10-15,146.17,JNJ
2020-10-16,147.08,JNJ
2020-10-19,143.32,JNJ
2020-10-20,143.55,JNJ
2020-10-21,142.94,JNJ
2020-10-22,144.08,JNJ
2020-10-23,144.24,JNJ
2020-10-26,142.98,JNJ
2020-10-27,142.16,JNJ
2020-10-28,137.41,JNJ
2020-10-29,136.24,JNJ
2020-10-30,136.16,JNJ
2020-11-02,137.73,JNJ
2020-11-03,137.54,JNJ
2020-11-04,138.44,JNJ
2020-11-05,138.8,JNJ
2020-11-06,141.27,JNJ
2020-11-09,145.07,JNJ
2020-11-10,147.26,JNJ
2020-11-11,146.78,JNJ
2020-11-12,147.28,JNJ
2020-11-13,148.87,JNJ
2020-11-16,149.81,JNJ
2020-11-17,148.32,JNJ
2020-11-18,146.35,JNJ
2020-11-19,146.12,JNJ
2020-11-20,145.35,JNJ
2020-11-23,143.87,JNJ
2020-11-24,143.87,JNJ
2020-11-25,143.68,JNJ
2020-11-27,144.0,JNJ
2020-11-30,144.68,JNJ
