Date,Adj Close,Symbol
2020-09-01,311.55,UNH
2020-09-02,318.93,UNH
2020-09-03,314.93,UNH
2020-09-04,310.72,UNH
2020-09-08,305.99,UNH
2020-09-09,310.74,UNH
2020-09-10,303.35,UNH
2020-09-11,301.48,UNH
2020-09-14,308.57,UNH
2020-09-15,307.23,UNH
2020-09-16,306.52,UNH
2020-09-17,304.98,UNH
2020-09-18,308.02,UNH
2020-09-21,299.19,UNH
2020-09-22,294.26,UNH
2020-09-23,292.14,UNH
2020-09-24,292.66,UNH
2020-09-25,302.5,UNH
2020-09-28,303.23,UNH
2020-09-29,304.15,UNH
2020-09-30,311.77,UNH
2020-10-01,313.07,UNH
2020-10-02,311.98,UNH
2020-10-05,318.15,UNH
2020-10-06,314.45,UNH
2020-10-07,323.17,UNH
2020-10-08,322.41,UNH
2020-10-09,327.84,UNH
2020-10-12,329.97,UNH
2020-10-13,331.42,UNH
2020-10-14,321.85,UNH
2020-10-15,324.57,UNH
2020-10-16,329.9,UNH
2020-10-19,324.22,UNH
2020-10-20,323.41,UNH
2020-10-21,322.79,UNH
2020-10-22,325.73,UNH
2020-10-23,330.6,UNH
2020-10-26,323.06,UNH
2020-10-27,320.51,UNH
2020-10-28,308.0,UNH
2020-10-29,303.68,UNH
2020-10-30,305.14,UNH
2020-11-02,312.1,UNH
2020-11-03,321.35,UNH
2020-11-04,354.56,UNH
2020-11-05,354.4,UNH
2020-11-06,347.46,UNH
2020-11-09,350.0,UNH
2020-11-10,353.69,UNH
2020-11-11,351.7,UNH
2020-11-12,354.41,UNH
2020-11-13,355.67,UNH
2020-11-16,356.82,UNH
2020-11-17,352.1,UNH
2020-11-18,344.51,UNH
2020-11-19,337.0,UNH
2020-11-20,334.7,UNH
2020-11-23,335.06,UNH
2020-11-24,336.01,UNH
2020-11-25,333.19,UNH
2020-11-27,337.94,UNH
2020-11-30,336.34,UNH
