Date,Adj Close,Symbol
2020-09-01,36.33,WBA
2020-09-02,36.73,WBA
2020-09-03,36.65,WBA
2020-09-04,36.46,WBA
2020-09-08,35.68,WBA
2020-09-09,34.93,WBA
2020-09-10,34.26,WBA
2020-09-11,34.29,WBA
2020-09-14,34.7,WBA
2020-09-15,34.86,WBA
2020-09-16,35.85,WBA
2020-09-17,36.77,WBA
2020-09-18,36.5,WBA
2020-09-21,35.37,WBA
2020-09-22,35.3,WBA
2020-09-23,34.65,WBA
2020-09-24,34.62,WBA
2020-09-25,35.01,WBA
2020-09-28,35.65,WBA
2020-09-29,34.96,WBA
2020-09-30,35.5,WBA
2020-10-01,35.45,WBA
2020-10-02,35.35,WBA
2020-10-05,36.19,WBA
2020-10-06,35.53,WBA
2020-10-07,36.06,WBA
2020-10-08,36.63,WBA
2020-10-09,35.91,WBA
2020-10-12,36.5,WBA
2020-10-13,35.76,WBA
2020-10-14,35.49,WBA
2020-10-15,37.2,WBA
2020-10-16,36.97,WBA
2020-10-19,36.54,WBA
2020-10-20,37.05,WBA
2020-10-21,36.95,WBA
2020-10-22,37.07,WBA
2020-10-23,37.59,WBA
2020-10-26,36.77,WBA
2020-10-27,35.58,WBA
2020-10-28,34.18,WBA
2020-10-29,33.13,WBA
2020-10-30,33.64,WBA
2020-11-02,35.37,WBA
2020-11-03,36.93,WBA
2020-11-04,35.87,WBA
2020-11-05,37.09,WBA
2020-11-06,36.87,WBA
2020-11-09,39.31,WBA
2020-11-10,41.85,WBA
2020-11-11,40.95,WBA
2020-11-12,40.29,WBA
2020-11-13,42.21,WBA
2020-11-16,43.58,WBA
2020-11-17,39.38,WBA
2020-11-18,38.23,WBA
2020-11-19,37.85,WBA
2020-11-20,37.53,WBA
2020-11-23,37.98,WBA
2020-11-24,38.52,WBA
2020-11-25,39.07,WBA
2020-11-27,39.0,WBA
2020-11-30,38.01,WBA
